,0,1,2,3,4
81,820.0,83.3225,82.49,0.14127800000278512,0.20542699999714387
82,830.0,83.315,82.47,0.1477359999989858,0.2179099999993923
83,840.0,83.38499999999999,82.54,0.13090899999951944,0.2172549999995681
84,850.0,83.34,82.61,0.14277299999957904,0.2229860000006738
85,860.0,83.39750000000001,82.47,0.1432170000007318,0.22610700000223005
86,870.0,83.4525,82.45,0.14904400000159512,0.23079000000143424
87,880.0,83.465,82.6,0.1291270000001532,0.22632099999827915
88,890.0,83.535,82.46,0.1662259999975504,0.23771399999895948
89,900.0,83.6275,82.53,0.15151699999842094,0.23324000000138767
90,910.0,83.73,82.72,0.16401700000278652,0.23681299999952898
91,920.0,83.72749999999999,82.69,0.14326599999913014,0.23581199999898672
92,930.0,83.76249999999999,82.86,0.15846399999645655,0.24753200000122888
